PlayerID,RegistrationDate,Country,Age,Platform,CampaignID,Acquisition Channel,AcquisitionScenarioID,AcquisitionScenarioName,AcquisitionScenarioType,Player Type
1,2024-01-03,Japan,20,Steam,16,Seasonal Sale,,,,Explorer
2,2024-01-03,United States,41,Steam,6,Steam Wishlist,,,,Trader
3,2024-01-04,Brazil,25,PlayStation,19,Creator/Streamer,,,,Casual
4,2024-01-04,Poland,27,PlayStation,23,Friend Referral,,,,Builder
5,2024-01-05,Japan,49,Steam,9,Steam Wishlist,,,,Casual
6,2024-01-06,Brazil,35,Steam,2,Organic Search,,,,Builder
7,2024-01-06,France,27,Xbox,3,Organic Search,,,,Casual
8,2024-01-06,Brazil,45,Steam,20,Creator/Streamer,,,,Casual
9,2024-01-06,South Korea,36,PlayStation,14,Seasonal Sale,,,,Trader
10,2024-01-06,Spain,29,Steam,10,Platform Store Feature,,,,Hardcore
11,2024-01-07,Japan,50,Steam,10,Platform Store Feature,,,,Builder
12,2024-01-07,Germany,22,Steam,6,Steam Wishlist,,,,Trader
13,2024-01-08,Brazil,27,Xbox,19,Creator/Streamer,,,,Explorer
14,2024-01-08,United States,23,PlayStation,3,Organic Search,,,,Explorer
15,2024-01-08,United States,24,PlayStation,25,Friend Referral,,,,Explorer
16,2024-01-09,South Korea,18,Steam,16,Seasonal Sale,,,,Explorer
17,2024-01-09,Poland,30,Steam,25,Friend Referral,,,,Builder
18,2024-01-09,Germany,17,Steam,13,Platform Store Feature,,,,Explorer
19,2024-01-09,France,20,PlayStation,12,Platform Store Feature,,,,Casual
20,2024-01-10,Japan,21,PlayStation,11,Platform Store Feature,,,,Explorer
21,2024-01-10,United Kingdom,39,PlayStation,2,Organic Search,,,,Casual
22,2024-01-10,Brazil,20,PlayStation,12,Platform Store Feature,,,,Explorer
23,2024-01-10,Australia,36,Steam,12,Platform Store Feature,,,,Trader
24,2024-01-10,Australia,34,Xbox,6,Steam Wishlist,,,,Explorer
25,2024-01-11,United States,19,Steam,23,Friend Referral,,,,Trader
26,2024-01-11,United Kingdom,48,Steam,1,Organic Search,,,,Hardcore
27,2024-01-11,Brazil,25,Steam,4,Organic Search,,,,Explorer
28,2024-01-11,United Kingdom,22,Steam,28,Paid User Acquisition,,,,Explorer
29,2024-01-11,Netherlands,30,PlayStation,3,Organic Search,,,,Hardcore
30,2024-01-11,Poland,35,Steam,8,Steam Wishlist,,,,Explorer
31,2024-01-11,United States,38,Steam,3,Organic Search,,,,Explorer
32,2024-01-12,United States,33,PlayStation,13,Platform Store Feature,,,,Explorer
33,2024-01-12,United Kingdom,30,Steam,14,Seasonal Sale,,,,Explorer
34,2024-01-12,Spain,34,Steam,20,Creator/Streamer,,,,Explorer
35,2024-01-12,United Kingdom,37,PlayStation,6,Steam Wishlist,,,,Explorer
36,2024-01-12,France,31,Xbox,20,Creator/Streamer,,,,Casual
37,2024-01-12,United Kingdom,29,Steam,13,Platform Store Feature,,,,Builder
38,2024-01-12,Poland,26,Steam,6,Steam Wishlist,,,,Explorer
39,2024-01-13,United States,45,PlayStation,2,Organic Search,,,,Explorer
40,2024-01-13,Japan,47,PlayStation,23,Friend Referral,,,,Builder
41,2024-01-13,United States,34,Steam,3,Organic Search,,,,Casual
42,2024-01-13,Sweden,24,Xbox,15,Seasonal Sale,,,,Casual
43,2024-01-13,Spain,45,Steam,18,Creator/Streamer,,,,Builder
44,2024-01-13,Brazil,31,Steam,15,Seasonal Sale,,,,Builder
45,2024-01-13,Canada,29,Steam,1,Organic Search,,,,Builder
46,2024-01-13,Germany,24,Steam,9,Steam Wishlist,,,,Explorer
47,2024-01-14,Japan,33,Steam,3,Organic Search,,,,Casual
48,2024-01-14,Australia,26,Steam,13,Platform Store Feature,,,,Builder
49,2024-01-14,Japan,32,Steam,18,Creator/Streamer,,,,Trader
50,2024-01-14,United States,38,Steam,5,Steam Wishlist,,,,Explorer
51,2024-01-14,United Kingdom,47,Steam,1,Organic Search,,,,Builder
52,2024-01-14,France,33,Steam,14,Seasonal Sale,,,,Explorer
53,2024-01-14,United States,23,Steam,4,Organic Search,,,,Builder
54,2024-01-14,United States,24,Steam,7,Steam Wishlist,,,,Explorer
55,2024-01-14,United States,30,Xbox,17,Seasonal Sale,,,,Hardcore
56,2024-01-15,Sweden,27,PlayStation,9,Steam Wishlist,,,,Explorer
57,2024-01-15,United States,29,Steam,24,Friend Referral,,,,Explorer
58,2024-01-15,South Korea,20,Steam,22,Creator/Streamer,,,,Casual
59,2024-01-15,Germany,17,Steam,19,Creator/Streamer,,,,Builder
60,2024-01-15,Turkey,28,Steam,11,Platform Store Feature,,,,Explorer
61,2024-01-15,Germany,25,Steam,15,Seasonal Sale,,,,Casual
62,2024-01-15,Sweden,24,PlayStation,4,Organic Search,,,,Builder
63,2024-01-16,Canada,20,Steam,5,Steam Wishlist,,,,Explorer
64,2024-01-16,United Kingdom,20,Steam,11,Platform Store Feature,,,,Hardcore
65,2024-01-16,United Kingdom,20,PlayStation,10,Platform Store Feature,,,,Explorer
66,2024-01-16,Spain,31,Xbox,1,Organic Search,,,,Builder
67,2024-01-16,Australia,26,Steam,17,Seasonal Sale,,,,Explorer
68,2024-01-16,United Kingdom,23,Steam,27,Paid User Acquisition,,,,Explorer
69,2024-01-16,United States,30,Steam,16,Seasonal Sale,,,,Explorer
70,2024-01-16,Poland,22,Xbox,15,Seasonal Sale,,,,Trader
71,2024-01-16,United States,29,Steam,18,Creator/Streamer,,,,Builder
72,2024-01-17,Japan,37,Steam,30,Paid User Acquisition,,,,Trader
73,2024-01-17,United States,25,Steam,7,Steam Wishlist,,,,Trader
74,2024-01-17,Spain,42,Steam,7,Steam Wishlist,,,,Explorer
75,2024-01-17,Turkey,31,Steam,6,Steam Wishlist,,,,Trader
76,2024-01-17,United Kingdom,17,Steam,27,Paid User Acquisition,,,,Explorer
77,2024-01-17,United States,28,PlayStation,27,Paid User Acquisition,,,,Hardcore
78,2024-01-17,Spain,18,Steam,2,Organic Search,,,,Hardcore
79,2024-01-17,France,28,PlayStation,15,Seasonal Sale,,,,Casual
80,2024-01-17,France,46,Steam,8,Steam Wishlist,,,,Explorer
81,2024-01-17,Turkey,25,Steam,7,Steam Wishlist,,,,Trader
82,2024-01-17,United States,33,Steam,7,Steam Wishlist,,,,Explorer
83,2024-01-17,United Kingdom,39,Steam,18,Creator/Streamer,,,,Builder
84,2024-01-18,Brazil,20,Xbox,17,Seasonal Sale,,,,Explorer
85,2024-01-18,United States,29,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Explorer
86,2024-01-18,Canada,39,Steam,8,Steam Wishlist,,,,Explorer
