FinanceDate,Revenue,OperatingCosts,InfrastructureCosts,MarketingCosts,ForecastRevenue,Budget
2024-01-01,0.0,2400.0,180.0,0.0,0.0,2930.0
2024-01-02,0.0,2400.0,180.0,0.0,0.0,2930.0
2024-01-03,0.0,2400.6,180.82,4.41,0.0,2935.83
2024-01-04,0.0,2401.8,184.55,3.83,0.0,2940.19
2024-01-05,0.0,2400.6,183.04,1.9,0.0,2935.54
2024-01-06,0.0,2402.4,184.5,16.79,0.0,2953.69
2024-01-07,0.0,2404.2,188.36,4.37,0.0,2946.93
2024-01-08,53.92,2406.09,187.97,6.26,0.0,2950.32
2024-01-09,46.94,2404.64,186.19,10.54,7.41,2951.36
2024-01-10,20.98,2404.93,188.48,14.15,13.45,2957.57
2024-01-11,41.97,2409.87,200.29,23.31,15.84,2983.47
2024-01-12,0.0,2407.8,194.56,23.78,20.85,2976.15
2024-01-13,29.94,2410.65,199.24,16.61,20.48,2976.49
2024-01-14,12.98,2411.85,204.16,17.97,23.85,2983.98
2024-01-15,64.93,2416.67,211.14,17.43,25.1,2995.24
2024-01-16,0.0,2418.6,213.47,30.4,27.21,3012.48
2024-01-17,92.91,2427.85,233.97,53.16,22.17,3064.98
2024-01-18,119.86,2428.2,231.32,43.16,30.71,3052.67
2024-01-19,166.85,2435.84,242.08,27.25,40.14,3055.16
2024-01-20,284.69,2449.56,272.33,62.11,59.03,3134.01
2024-01-21,265.69,2453.1,273.39,56.77,88.26,3133.26
2024-01-22,61.91,2449.57,282.51,46.01,116.66,3128.09
2024-01-23,424.5,2467.66,296.15,109.78,116.42,3223.59
2024-01-24,278.66,2472.75,317.57,53.64,163.66,3193.97
2024-01-25,302.64,2477.19,318.4,67.88,184.8,3213.47
2024-01-26,549.35,2494.83,335.84,72.67,205.73,3253.34
2024-01-27,503.45,2495.62,349.43,96.82,249.27,3291.87
2024-01-28,496.45,2507.98,373.33,119.72,275.53,3351.03
2024-01-29,609.3,2514.93,384.82,115.81,302.61,3365.55
2024-01-30,621.35,2538.15,420.38,90.41,363.88,3398.94
2024-01-31,788.13,2548.18,446.6,143.99,390.22,3488.77
2024-02-01,689.29,2542.33,430.95,174.3,449.61,3497.58
2024-02-02,1034.89,2570.62,476.08,119.81,495.66,3516.51
2024-02-03,996.88,2592.09,510.53,211.12,555.3,3663.74
2024-02-04,723.13,2586.11,521.63,166.36,615.33,3624.09
2024-02-05,857.04,2596.2,510.83,106.54,645.74,3563.57
2024-02-06,1050.94,2628.18,597.25,118.72,679.12,3694.15
2024-02-07,1017.85,2625.22,580.3,126.91,732.84,3682.43
2024-02-08,692.33,2613.23,572.41,65.18,766.49,3600.82
2024-02-09,1018.03,2645.03,608.97,114.47,773.76,3718.47
2024-02-10,1034.8,2637.22,587.3,93.1,782.98,3667.62
2024-02-11,1247.63,2662.07,609.59,79.57,797.54,3701.23
2024-02-12,1035.04,2654.63,637.3,104.77,863.22,3746.7
2024-02-13,1326.47,2688.83,680.51,90.78,891.41,3810.12
2024-02-14,1165.82,2692.2,697.46,90.79,933.18,3830.46
2024-02-15,1172.62,2687.64,706.39,112.1,959.47,3856.13
2024-02-16,1313.65,2709.98,740.63,133.29,1018.78,3933.89
2024-02-17,1421.57,2726.35,759.91,112.79,1060.63,3949.05
2024-02-18,1529.31,2745.13,791.86,80.48,1111.49,3967.46
2024-02-19,1232.6,2744.94,793.09,87.9,1153.19,3975.93
2024-02-20,1589.3,2762.83,815.06,133.26,1185.49,4061.15
2024-02-21,1586.13,2750.71,818.09,87.54,1224.26,4006.34
2024-02-22,1741.25,2797.54,879.17,177.28,1280.3,4204.0
2024-02-23,1423.4,2775.62,851.39,119.69,1352.57,4096.71
2024-02-24,1582.35,2799.78,892.69,121.28,1372.91,4163.76
2024-02-25,1941.79,2828.56,942.53,146.45,1400.55,4267.54
2024-02-26,1985.79,2843.3,959.98,145.56,1457.28,4298.84
2024-02-27,1921.09,2854.84,977.21,126.0,1547.35,4308.05
2024-02-28,2066.82,2852.74,970.55,155.17,1594.46,4328.46
2024-02-29,2176.61,2893.78,1042.88,201.08,1656.23,4487.74
2024-03-01,4040.83,3131.23,1608.79,121.9,1715.7,5211.92
2024-03-02,4166.63,3175.23,1636.16,156.08,2009.65,5317.47
2024-03-03,3804.86,3173.97,1698.26,127.47,2302.04,5349.71
2024-03-04,3809.67,3196.34,1708.16,174.78,2521.36,5432.27
2024-03-05,4146.37,3230.92,1779.69,198.89,2735.39,5592.46
2024-03-06,4241.66,3283.46,1849.03,235.34,2991.08,5786.58
2024-03-07,4811.58,3312.41,1919.94,177.94,3243.1,5864.32
2024-03-08,5035.66,3363.45,2023.8,146.4,3550.74,6030.75
2024-03-09,4755.76,3346.45,1990.99,185.86,3693.26,6040.36
2024-03-10,4688.82,3374.11,2059.75,185.91,3792.04,6150.66
2024-03-11,5645.63,3425.0,2110.15,163.38,3917.31,6246.95
2024-03-12,5050.37,3440.16,2183.06,219.63,4150.31,6423.9
2024-03-13,5560.63,3483.22,2247.98,192.27,4280.6,6522.75
2024-03-14,5666.61,3519.93,2280.84,213.92,4459.59,6639.04
2024-03-15,5309.17,3527.22,2354.55,197.65,4593.24,6722.48
2024-03-16,5504.6,3564.06,2433.49,175.19,4663.4,6825.61
2024-03-17,6387.86,3591.98,2446.64,147.32,4782.03,6855.42
2024-03-18,7328.97,3677.11,2513.42,258.73,5003.99,7149.82
2024-03-19,6355.02,3647.23,2553.65,211.37,5237.64,7145.51
2024-03-20,6157.24,3681.7,2615.12,248.9,5419.17,7304.41
2024-03-21,6276.08,3697.86,2652.19,190.82,5527.81,7314.76
2024-03-22,6476.02,3742.06,2746.25,170.7,5637.34,7448.25
2024-03-23,7149.31,3785.43,2781.9,245.75,5808.16,7626.22
2024-03-24,7166.01,3820.81,2879.75,278.71,6032.28,7823.78
2024-03-25,6804.58,3849.56,2950.99,252.47,6166.07,7916.27
2024-03-26,7536.71,3862.58,2971.45,252.54,6165.26,7949.72
2024-03-27,7670.13,3936.25,3094.96,226.74,6343.6,8146.06
2024-03-28,8034.27,3987.4,3187.66,232.24,6554.92,8324.99
2024-03-29,7694.39,3995.9,3208.22,188.82,6793.5,8344.03
2024-03-30,8162.01,4012.87,3233.12,228.05,6954.48,8447.67
2024-03-31,8607.14,4045.25,3261.76,240.92,7098.56,8541.72
2024-04-01,4438.09,3553.73,2243.14,225.05,7294.13,7043.1
2024-04-02,5507.17,3619.95,2276.95,314.85,7064.21,7200.74
2024-04-03,5165.28,3624.78,2327.18,273.92,6875.84,7188.51
2024-04-04,5165.35,3636.19,2365.24,250.91,6635.25,7181.28
2024-04-05,5000.51,3637.02,2381.99,256.43,6352.15,7164.74
2024-04-06,5243.44,3688.72,2474.44,279.59,6082.38,7294.28
2024-04-07,5455.03,3715.33,2542.06,289.77,5795.75,7358.56
2024-04-08,5517.0,3734.89,2548.18,351.03,5488.75,7402.53
2024-04-09,4841.63,3716.66,2576.84,280.81,5595.26,7357.64
2024-04-10,5709.8,3808.84,2695.79,321.79,5526.47,7600.13
2024-04-11,5909.51,3815.83,2687.77,288.15,5582.52,7573.3
2024-04-12,5742.49,3832.19,2742.46,351.05,5659.54,7718.02
2024-04-13,5897.57,3871.21,2811.85,282.95,5738.38,7769.39
2024-04-14,6181.18,3903.94,2844.19,312.99,5808.0,7874.24
2024-04-15,6377.13,3958.2,2961.45,358.45,5878.4,8101.08
2024-04-16,6239.25,3964.17,2974.43,259.18,5954.22,8031.38
2024-04-17,7070.17,4023.86,3009.95,350.95,6092.74,8237.74
2024-04-18,6686.67,4005.03,3037.87,308.63,6238.56,8224.93
2024-04-19,7019.43,4106.08,3203.52,310.5,6320.67,8504.99
2024-04-20,6710.55,4078.47,3151.92,310.11,6454.19,8444.08
2024-04-21,6667.03,4111.75,3219.97,316.31,6530.79,8562.34
2024-04-22,6873.55,4181.37,3390.53,288.14,6574.02,8780.41
2024-04-23,7159.03,4173.37,3356.7,281.19,6624.41,8738.67
2024-04-24,8113.13,4257.76,3454.6,287.68,6712.34,8939.77
2024-04-25,8066.09,4295.71,3536.75,376.0,6821.38,9163.46
2024-04-26,7919.43,4272.58,3481.51,282.44,6959.66,9010.87
2024-04-27,7833.6,4289.98,3507.04,337.5,7052.07,9121.81
2024-04-28,8205.15,4364.18,3646.31,313.07,7160.86,9326.08
2024-04-29,7995.04,4355.03,3691.61,312.65,7310.37,9382.74
2024-04-30,8867.46,4419.76,3707.6,353.23,7460.62,9525.08
2024-05-01,7617.61,4398.82,3746.42,348.91,7667.47,9567.59
2024-05-02,8525.56,4510.99,3936.05,292.89,7644.19,9810.13
2024-05-03,8894.07,4505.89,3879.88,340.97,7726.14,9808.4
2024-05-04,8964.07,4535.94,3930.91,360.01,7865.32,9928.0
2024-05-05,8888.02,4600.48,4106.87,424.08,8018.23,10253.99
2024-05-06,9749.48,4735.63,4390.34,434.95,8123.3,10698.19
2024-05-07,11485.47,4942.19,4703.77,629.93,8344.1,11444.07
2024-05-08,11692.95,5053.85,4932.16,781.02,8677.08,11981.83
2024-05-09,12192.35,5152.93,5203.48,868.38,9148.72,12505.61
2024-05-10,13477.12,5277.7,5306.74,786.09,9582.71,12712.1
2024-05-11,13167.54,5354.46,5633.39,762.8,10123.89,13168.0
2024-05-12,13390.13,5391.65,5631.79,723.35,10622.13,13233.89
2024-05-13,12983.16,5518.41,5916.55,780.77,11149.58,13776.67
2024-05-14,13730.65,5549.37,5898.41,731.38,11543.73,13795.29
2024-05-15,14006.96,5626.84,6086.73,791.84,11848.51,14164.2
2024-05-16,14676.33,5700.67,6207.94,855.44,12154.23,14465.65
2024-05-17,15468.13,5847.18,6514.79,677.43,12488.23,14787.76
2024-05-18,16720.78,5982.23,6549.53,773.41,12777.86,15094.07
2024-05-19,16255.35,5985.74,6739.36,891.29,13240.43,15470.04
2024-05-20,16749.46,6010.23,6696.13,882.0,13629.69,15496.52
2024-05-21,15970.44,6054.37,6866.5,788.02,14112.13,15684.59
2024-05-22,15635.47,6094.84,6903.44,800.16,14430.52,15818.71
2024-05-23,15454.56,5992.51,6665.95,671.12,14673.97,15383.93
2024-05-24,14600.5,5977.62,6623.98,586.34,14830.95,15264.28
2024-05-25,15238.8,5946.56,6386.62,510.91,14815.77,14918.29
2024-05-26,14707.62,6055.17,6631.57,405.36,14746.91,15156.66
2024-05-27,14711.69,6006.11,6563.22,466.26,14661.81,15088.24
2024-05-28,16108.77,6161.21,6755.96,462.84,14530.0,15414.21
2024-05-29,15315.99,6080.66,6726.87,475.1,14621.42,15329.63
2024-05-30,16420.62,6205.12,6801.78,428.22,14671.95,15489.2
2024-05-31,16648.51,6229.9,6826.22,448.7,14853.15,15584.26
2024-06-01,16631.86,6309.72,7159.75,459.32,15141.03,16048.54
2024-06-02,15641.43,6305.05,7122.4,465.09,15362.49,16043.28
2024-06-03,16610.96,6376.18,7203.07,494.71,15528.23,16247.92
2024-06-04,16170.09,6375.75,7264.79,378.7,15791.67,16230.08
2024-06-05,15714.35,6382.0,7260.22,514.7,15848.0,16375.63
2024-06-06,15772.65,6433.84,7350.68,542.09,15930.92,16556.94
2024-06-07,16965.15,6482.18,7405.6,507.12,15904.48,16621.52
2024-06-08,17650.81,6529.58,7363.0,434.92,15973.52,16563.79
2024-06-09,17853.95,6611.09,7551.59,420.21,16123.45,16840.18
2024-06-10,19772.11,6949.42,8490.77,482.5,16392.53,18217.65
2024-06-11,21656.2,7240.37,9176.5,418.83,16781.38,19185.08
2024-06-12,24091.91,7626.22,10315.05,518.6,17414.91,20897.95
2024-06-13,26134.08,7932.29,11206.22,466.74,18360.72,22175.76
2024-06-14,27596.39,8150.87,11585.2,445.08,19519.62,22913.9
2024-06-15,28184.58,8184.06,11729.83,434.63,20712.69,23248.3
2024-06-16,27356.84,8154.49,11799.67,493.79,21888.9,23512.39
2024-06-17,28197.03,8327.9,12051.34,525.45,22958.13,24118.83
2024-06-18,29097.96,8378.63,12172.37,490.43,23923.27,24390.69
2024-06-19,28824.35,8392.45,12168.66,493.07,24808.1,24527.31
2024-06-20,28866.84,8482.74,12350.15,516.3,25422.66,24908.35
